Node_i ,Node_j ,"A[i,j]" ,"A[j,i]" ,Diff                   ,Direction
    14 ,    26 ,  0.1089 ,  0.2556 ,0.1467                 ,26->14
    14 ,    33 ,  0.0506 ,  0.1971 ,0.1465                 ,33->14
    38 ,    49 ,  0.0652 ,  0.2114 ,0.1462                 ,49->38
    10 ,    35 ,  0.5709 ,  0.7151 ,0.1442                 ,35->10
    11 ,    44 ,  0.0347 ,  0.1787 ,0.144                  ,44->11
    34 ,    38 ,  0.1985 ,  0.0555 ,0.14300000000000002    ,34->38
     0 ,    11 ,  0.2201 ,  0.0775 ,0.1426                 ,0->11
    13 ,    23 ,  0.0253 ,  0.1671 ,0.1418                 ,23->13
    35 ,    46 ,  0.0836 ,  0.2249 ,0.14129999999999998    ,46->35
     2 ,     3 ,  0.3915 ,  0.2511 ,0.14040000000000002    ,2->3
    11 ,    19 ,  0.0313 ,  0.1709 ,0.1396                 ,19->11
    25 ,    42 ,  0.0406 ,  0.179  ,0.1384                 ,42->25
    13 ,    48 ,  0.0921 ,  0.2304 ,0.13829999999999998    ,48->13
    14 ,    34 ,  0.0588 ,  0.1969 ,0.1381                 ,34->14
    14 ,    44 ,  0.0524 ,  0.1904 ,0.138                  ,44->14
    13 ,    15 ,  0.0542 ,  0.1919 ,0.1377                 ,15->13
    14 ,    38 ,  0.2263 ,  0.3638 ,0.1375                 ,38->14
    26 ,    47 ,  0.0693 ,  0.2062 ,0.1369                 ,47->26
     4 ,    11 ,  0.2037 ,  0.0675 ,0.1362                 ,4->11
    17 ,    45 ,  0.1559 ,  0.0214 ,0.1345                 ,17->45
     0 ,    14 ,  0.2472 ,  0.1131 ,0.1341                 ,0->14
    13 ,    16 ,  0.0549 ,  0.1886 ,0.13369999999999999    ,16->13
    10 ,    49 ,  0.0808 ,  0.2136 ,0.13280000000000003    ,49->10
     5 ,    47 ,  0.058  ,  0.1906 ,0.1326                 ,47->5
    12 ,    16 ,  0.0604 ,  0.1921 ,0.13169999999999998    ,16->12
    25 ,    36 ,  0.3101 ,  0.1785 ,0.1316                 ,25->36
    38 ,    44 ,  0.0655 ,  0.197  ,0.1315                 ,44->38
    18 ,    35 ,  0.1538 ,  0.0226 ,0.13119999999999998    ,18->35
    13 ,    43 ,  0.032  ,  0.1626 ,0.1306                 ,43->13
    28 ,    39 ,  0.2222 ,  0.0916 ,0.1306                 ,28->39
    10 ,    44 ,  0.0382 ,  0.1687 ,0.1305                 ,44->10
    15 ,    35 ,  0.1619 ,  0.0314 ,0.1305                 ,15->35
    11 ,    46 ,  0.0873 ,  0.2175 ,0.13019999999999998    ,46->11
    14 ,    19 ,  0.0418 ,  0.172  ,0.13019999999999998    ,19->14
    38 ,    39 ,  0.8523 ,  0.7224 ,0.1298999999999999     ,38->39
    14 ,    23 ,  0.023  ,  0.1513 ,0.1283                 ,23->14
    22 ,    39 ,  0.1453 ,  0.0176 ,0.1277                 ,22->39
    12 ,    47 ,  0.0617 ,  0.1888 ,0.1271                 ,47->12
     5 ,     6 ,  0.493  ,  0.6183 ,0.12529999999999997    ,6->5
     2 ,     5 ,  0.2289 ,  0.104  ,0.1249                 ,2->5
     4 ,    22 ,  0.0274 ,  0.152  ,0.12459999999999999    ,22->4
    12 ,    42 ,  0.0205 ,  0.1448 ,0.12430000000000001    ,42->12
    15 ,    39 ,  0.1514 ,  0.0281 ,0.1233                 ,15->39
